Job ID,Arrival,Burst,Priority,Start,End,Turn Around
0,1,36,3,0,36,35
1,2,18,2,36,54,52
2,3,92,3,54,146,143
3,3,11,1,146,157,154
4,3,3,1,157,160,157
5,4,4,3,160,164,160
6,5,42,1,164,206,201
7,6,100,3,206,306,300
8,7,84,2,306,390,383
9,7,45,2,390,435,428
10,7,66,2,435,501,494
11,8,10,3,501,511,503
12,9,13,3,511,524,515
13,9,10,3,524,534,525
14,10,12,1,534,546,536
15,11,74,1,546,620,609
16,11,8,1,620,628,617
17,12,5,2,628,633,621
18,12,71,2,633,704,692
19,12,26,3,704,730,718
20,12,16,1,730,746,734
21,13,31,1,746,777,764
22,14,4,1,777,781,767
23,14,0,3,781,781,767
24,14,11,2,781,792,778
25,14,70,2,792,862,848
26,14,0,2,862,862,848
27,15,84,2,862,946,931
28,16,75,2,946,1021,1005
29,16,57,1,1021,1078,1062
30,17,94,2,1078,1172,1155
31,18,77,2,1172,1249,1231
32,19,31,3,1249,1280,1261
33,20,47,3,1280,1327,1307
34,20,1,3,1327,1328,1308
35,20,16,2,1328,1344,1324
36,21,67,3,1344,1411,1390
37,21,10,2,1411,1421,1400
38,22,28,3,1421,1449,1427
39,22,23,3,1449,1472,1450
40,23,11,2,1472,1483,1460
41,24,86,2,1483,1569,1545
42,24,3,2,1569,1572,1548
43,25,8,2,1572,1580,1555
44,25,54,2,1580,1634,1609
45,26,61,3,1634,1695,1669
46,26,79,2,1695,1774,1748
47,27,12,1,1774,1786,1759
48,27,23,1,1786,1809,1782
49,28,94,2,1809,1903,1875
50,28,49,3,1903,1952,1924
51,29,81,2,1952,2033,2004
52,30,51,3,2033,2084,2054
53,30,12,1,2084,2096,2066
54,31,95,1,2096,2191,2160
55,31,60,1,2191,2251,2220
56,31,46,3,2251,2297,2266
57,31,98,2,2297,2395,2364
58,31,49,2,2395,2444,2413
59,31,61,1,2444,2505,2474
60,32,41,1,2505,2546,2514
61,33,74,1,2546,2620,2587
62,33,78,3,2620,2698,2665
63,33,80,3,2698,2778,2745
64,34,15,1,2778,2793,2759
65,34,89,2,2793,2882,2848
66,34,80,2,2882,2962,2928
67,34,37,1,2962,2999,2965
68,35,38,3,2999,3037,3002
69,36,79,3,3037,3116,3080
70,37,53,1,3116,3169,3132
71,38,44,3,3169,3213,3175
72,38,95,1,3213,3308,3270
73,38,93,1,3308,3401,3363
74,38,14,2,3401,3415,3377
75,39,37,3,3415,3452,3413
76,40,83,1,3452,3535,3495
77,41,68,2,3535,3603,3562
78,41,1,1,3603,3604,3563
79,41,81,2,3604,3685,3644
80,41,46,1,3685,3731,3690
81,42,38,2,3731,3769,3727
82,42,98,2,3769,3867,3825
83,42,32,1,3867,3899,3857
84,43,49,3,3899,3948,3905
85,43,34,2,3948,3982,3939
86,44,20,3,3982,4002,3958
87,45,88,1,4002,4090,4045
88,45,15,3,4090,4105,4060
89,46,74,2,4105,4179,4133
90,47,90,1,4179,4269,4222
91,48,0,3,4269,4269,4221
92,49,27,3,4269,4296,4247
93,49,51,1,4296,4347,4298
94,50,25,3,4347,4372,4322
95,50,85,3,4372,4457,4407
96,51,20,3,4457,4477,4426
97,52,94,1,4477,4571,4519
98,53,62,1,4571,4633,4580
99,54,27,2,4633,4660,4606
Average turn around time,2131.69,,,,,
