Job ID,Arrival,Burst,Priority,Deadline,Start,End,Turn Around
0,1,39,2,2,0,39,38
1,1,21,2,19,39,60,59
2,2,3,3,19,60,63,61
3,3,14,2,9,63,77,74
4,4,65,1,19,77,142,138
6,4,80,2,20,142,222,218
5,4,81,2,23,222,303,299
9,5,87,2,14,303,390,385
8,5,17,1,18,390,407,402
7,5,60,2,21,407,467,462
11,6,25,2,7,467,492,486
10,6,7,2,17,492,499,493
13,7,82,3,11,499,581,574
12,7,60,3,15,581,641,634
14,8,16,3,16,641,657,649
15,9,38,2,14,657,695,686
16,10,5,2,30,695,700,690
18,11,78,2,12,700,778,767
19,11,100,3,17,778,878,867
17,11,67,1,20,878,945,934
20,11,100,1,20,945,1045,1034
21,11,45,2,26,1045,1090,1079
22,12,57,3,31,1090,1147,1135
24,13,72,1,31,1147,1219,1206
23,13,79,3,31,1219,1298,1285
25,14,4,2,30,1298,1302,1288
26,15,13,1,16,1302,1315,1300
27,15,69,1,32,1315,1384,1369
28,16,78,3,22,1384,1462,1446
29,17,86,2,29,1462,1548,1531
30,17,86,2,37,1548,1634,1617
32,18,91,2,23,1634,1725,1707
33,18,3,3,32,1725,1728,1710
31,18,68,3,38,1728,1796,1778
34,19,51,1,23,1796,1847,1828
35,20,86,3,35,1847,1933,1913
36,21,11,2,29,1933,1944,1923
37,22,16,1,25,1944,1960,1938
38,23,72,3,33,1960,2032,2009
39,24,62,1,36,2032,2094,2070
41,25,18,3,29,2094,2112,2087
40,25,64,1,41,2112,2176,2151
42,26,89,2,35,2176,2265,2239
43,27,35,1,29,2265,2300,2273
45,27,22,3,32,2300,2322,2295
44,27,32,2,34,2322,2354,2327
46,27,88,2,47,2354,2442,2415
47,28,12,1,37,2442,2454,2426
49,29,44,3,38,2454,2498,2469
48,29,8,3,46,2498,2506,2477
50,30,53,3,32,2506,2559,2529
51,30,54,2,50,2559,2613,2583
52,31,98,1,32,2613,2711,2680
53,31,6,3,40,2711,2717,2686
54,32,59,3,45,2717,2776,2744
55,32,51,3,50,2776,2827,2795
56,33,88,2,34,2827,2915,2882
58,34,49,1,36,2915,2964,2930
60,34,94,1,36,2964,3058,3024
59,34,96,1,37,3058,3154,3120
61,34,55,1,47,3154,3209,3175
57,34,47,3,47,3209,3256,3222
62,35,93,2,49,3256,3349,3314
66,36,29,3,39,3349,3378,3342
65,36,75,3,43,3378,3453,3417
64,36,8,1,45,3453,3461,3425
63,36,56,2,50,3461,3517,3481
67,37,75,2,38,3517,3592,3555
68,37,29,1,48,3592,3621,3584
69,38,93,1,55,3621,3714,3676
70,39,20,2,43,3714,3734,3695
72,39,14,1,53,3734,3748,3709
71,39,24,3,57,3748,3772,3733
73,40,78,3,57,3772,3850,3810
77,41,1,3,43,3850,3851,3810
74,41,76,3,45,3851,3927,3886
76,41,75,3,49,3927,4002,3961
75,41,14,2,56,4002,4016,3975
80,42,98,3,48,4016,4114,4072
78,42,86,2,49,4114,4200,4158
79,42,32,1,56,4200,4232,4190
81,43,88,1,57,4232,4320,4277
83,44,98,1,53,4320,4418,4374
82,44,1,2,59,4418,4419,4375
84,45,14,3,65,4419,4433,4388
87,46,55,2,53,4433,4488,4442
85,46,35,1,58,4488,4523,4477
86,46,54,2,64,4523,4577,4531
89,47,34,3,63,4577,4611,4564
88,47,90,3,64,4611,4701,4654
90,48,88,1,67,4701,4789,4741
91,49,37,2,55,4789,4826,4777
94,50,86,3,54,4826,4912,4862
92,50,34,1,58,4912,4946,4896
93,50,76,1,68,4946,5022,4972
95,51,3,3,57,5022,5025,4974
96,51,99,2,63,5025,5124,5073
97,51,100,3,63,5124,5224,5173
98,52,20,2,61,5224,5244,5192
99,53,36,3,55,5244,5280,5227
Average turn around time,2583.73,,,,,
