Job ID,Arrival,Burst,Priority,Deadline,Start,End,Turn Around
0,1,39,2,2,0,39,38
1,1,21,2,19,39,60,59
2,2,3,3,19,60,63,61
3,3,14,2,9,63,77,74
4,4,65,1,19,77,142,138
5,4,81,2,23,142,223,219
6,4,80,2,20,223,303,299
8,5,17,1,18,303,320,315
7,5,60,2,21,320,380,375
9,5,87,2,14,380,467,462
10,6,7,2,17,467,474,468
11,6,25,2,7,474,499,493
12,7,60,3,15,499,559,552
13,7,82,3,11,559,641,634
14,8,16,3,16,641,657,649
15,9,38,2,14,657,695,686
16,10,5,2,30,695,700,690
17,11,67,1,20,700,767,756
20,11,100,1,20,767,867,856
18,11,78,2,12,867,945,934
21,11,45,2,26,945,990,979
19,11,100,3,17,990,1090,1079
22,12,57,3,31,1090,1147,1135
24,13,72,1,31,1147,1219,1206
23,13,79,3,31,1219,1298,1285
25,14,4,2,30,1298,1302,1288
26,15,13,1,16,1302,1315,1300
27,15,69,1,32,1315,1384,1369
28,16,78,3,22,1384,1462,1446
29,17,86,2,29,1462,1548,1531
30,17,86,2,37,1548,1634,1617
32,18,91,2,23,1634,1725,1707
31,18,68,3,38,1725,1793,1775
33,18,3,3,32,1793,1796,1778
34,19,51,1,23,1796,1847,1828
35,20,86,3,35,1847,1933,1913
36,21,11,2,29,1933,1944,1923
37,22,16,1,25,1944,1960,1938
38,23,72,3,33,1960,2032,2009
39,24,62,1,36,2032,2094,2070
40,25,64,1,41,2094,2158,2133
41,25,18,3,29,2158,2176,2151
42,26,89,2,35,2176,2265,2239
43,27,35,1,29,2265,2300,2273
44,27,32,2,34,2300,2332,2305
46,27,88,2,47,2332,2420,2393
45,27,22,3,32,2420,2442,2415
47,28,12,1,37,2442,2454,2426
48,29,8,3,46,2454,2462,2433
49,29,44,3,38,2462,2506,2477
51,30,54,2,50,2506,2560,2530
50,30,53,3,32,2560,2613,2583
52,31,98,1,32,2613,2711,2680
53,31,6,3,40,2711,2717,2686
54,32,59,3,45,2717,2776,2744
55,32,51,3,50,2776,2827,2795
56,33,88,2,34,2827,2915,2882
58,34,49,1,36,2915,2964,2930
59,34,96,1,37,2964,3060,3026
60,34,94,1,36,3060,3154,3120
61,34,55,1,47,3154,3209,3175
57,34,47,3,47,3209,3256,3222
62,35,93,2,49,3256,3349,3314
64,36,8,1,45,3349,3357,3321
63,36,56,2,50,3357,3413,3377
65,36,75,3,43,3413,3488,3452
66,36,29,3,39,3488,3517,3481
68,37,29,1,48,3517,3546,3509
67,37,75,2,38,3546,3621,3584
69,38,93,1,55,3621,3714,3676
72,39,14,1,53,3714,3728,3689
70,39,20,2,43,3728,3748,3709
71,39,24,3,57,3748,3772,3733
73,40,78,3,57,3772,3850,3810
75,41,14,2,56,3850,3864,3823
74,41,76,3,45,3864,3940,3899
76,41,75,3,49,3940,4015,3974
77,41,1,3,43,4015,4016,3975
79,42,32,1,56,4016,4048,4006
78,42,86,2,49,4048,4134,4092
80,42,98,3,48,4134,4232,4190
81,43,88,1,57,4232,4320,4277
83,44,98,1,53,4320,4418,4374
82,44,1,2,59,4418,4419,4375
84,45,14,3,65,4419,4433,4388
85,46,35,1,58,4433,4468,4422
86,46,54,2,64,4468,4522,4476
87,46,55,2,53,4522,4577,4531
88,47,90,3,64,4577,4667,4620
89,47,34,3,63,4667,4701,4654
90,48,88,1,67,4701,4789,4741
91,49,37,2,55,4789,4826,4777
92,50,34,1,58,4826,4860,4810
93,50,76,1,68,4860,4936,4886
94,50,86,3,54,4936,5022,4972
96,51,99,2,63,5022,5121,5070
95,51,3,3,57,5121,5124,5073
97,51,100,3,63,5124,5224,5173
98,52,20,2,61,5224,5244,5192
99,53,36,3,55,5244,5280,5227
Average turn around time,2582.04,,,,,
